item_sno,name,image,material,effect
TK7Z79I099pdj39V3Q94N,강아지 쪽쪽이 터그놀이 고양이 이갈이 장난감,https://shopping-phinf.pstatic.net/main_8330503/83305034361.1.jpg?type=f140,면,"치석케어, 흥미유발, 분리불안해소"
T2gwz10WWp4loHD11VbqC,퍼피가드 강아지 터그놀이 대형견 장난감 개구리,https://shopping-phinf.pstatic.net/main_2164791/21647919444.20200102154533.jpg?type=f140,폴리에스테르,"소리나는, 두뇌개발, 흥미유발"
TZ59mKJtEea2BIDD1JwTs,개시크 강아지장난감 라텍스 애견삑삑이 봉제 인형 이갈이 터그놀이 실타래 공 세트,https://shopping-phinf.pstatic.net/main_8213652/82136522606.4.jpg?type=f140,고무/실리콘,"소리나는, 간식넣는, 분리불안해소"
TOt3qR8nURFyMZ1P5pCa3,강아지 간식볼 지능개발 장난감 모래시계,https://shopping-phinf.pstatic.net/main_1351777/13517772863.2.jpg?type=f140,플라스틱,"간식넣는, 두뇌개발, 흥미유발"
T5upFf0ifwkUJl1a1j160,[아아랜드] 강아지 노즈워크 미니볼 장난감,https://shopping-phinf.pstatic.net/main_8278527/82785276082.4.jpg?type=f140,고무/실리콘,"간식넣는, 두뇌개발, 분리불안해소"
Tnt4WOx26Sn8A0LSx1Xg9,[KONG] 강아지 밤부볼 애견 노즈워크 강아지 장난감 노즈워크볼,https://shopping-phinf.pstatic.net/main_8450656/84506560945.1.jpg?type=f140,고무/실리콘,"간식넣는, 물에뜨는, 두뇌개발"
TT6SN88BYFL15U19T68q0,트리트릭스 악어 트릿 세트 강아지 장난감 간식,https://shopping-phinf.pstatic.net/main_8334673/83346736927.3.jpg?type=f140,폴리에스테르,"간식넣는, 흥미유발"
TV7K0N57cs9SxJXmff8HA,강아지 장난감 나비 로프볼 터그놀이 이갈이 2개월 3개월 실타래 중형견 대형견,https://shopping-phinf.pstatic.net/main_8423448/84234482403.2.jpg?type=f140,면,"치석케어, 흥미유발, 분리불안해소"
T89EGn2P5h3ajvw9xnfS1,콩 클래식 장난감 Medium - T2 / 소형견강아지 노즈워크 장난감,https://shopping-phinf.pstatic.net/main_8342263/83422636926.4.jpg?type=f140,고무/실리콘,"간식넣는, 두뇌개발, 분리불안해소"
T018jGPXn0Vej3iLUgc9S,강아지 장난감 놀이기구 혼자놀기 자동 애견 공놀이 훈련 기계 노즈워크,https://shopping-phinf.pstatic.net/main_8388503/83885033563.jpg?type=f140,,"자동으로 움직이는, 간식넣는, 흥미유발"
TjSFgptfXytgD2h63D1I7,보듬 애착 터그 강아지 훈련 장난감,https://shopping-phinf.pstatic.net/main_8231125/82311252651.1.jpg?type=f140,폴리에스테르,"흥미유발, 페치게임"
T82bXelHH83bV7P2a4JCZ,뽀시래기 강아지 치석제거 터그놀이 장난감 오링,https://shopping-phinf.pstatic.net/main_2148423/21484231961.20201223141014.jpg?type=f140,합성섬유,"치석케어, 흥미유발, 분리불안해소"
TOSF9R62I26BA5kD714lO,리치독스 강아지 애견 물놀이튜브 인어튜브,https://shopping-phinf.pstatic.net/main_8209761/82097612216.19.jpg?type=f140,고무/실리콘,"물에뜨는, 흥미유발"
T1w5S0SU4Ul7s7HGcCNvC,딩독 캔디 츄러스 딸기 레몬 1p 강아지 핸드메이드 애착인형 패브릭 장난감,https://shopping-phinf.pstatic.net/main_8420465/84204653356.jpg?type=f140,니트,"치석케어, 분리불안해소"
T9y65T791gChBQjLbbErs,비나츄 100% 커피나무 강아지 치석제거장난감,https://searchad-phinf.pstatic.net/MjAyMjA4MjNfMjIg/MDAxNjYxMjQ1ODg1Mjc1.osnmrnaQ4dRj_dsib_FTSCtTyc-Xg-Zha0Fv94Axuycg.nSyqT9PC6YAY95824aj3zVhSiVrfv2_yKtYjinDaRfIg.PNG/2117855-4fa4b88f-d67c-477a-a6ad-ee051b0dc963.png?type=f200,원목,"치석케어, 흥미유발, 분리불안해소"
TgLEsv2OPAUud032QXiNP,기그위 으드득 크런치넥 블루덕 강아지 장난감,https://shopping-phinf.pstatic.net/main_8329415/83294158935.jpg?type=f140,폴리에스테르,"소리나는, 흥미유발, 분리불안해소"
T83bcC735gTmetXZn65cs,강냥이 도깨비 라텍스 강아지 삑삑이 만득이 장난감 공,https://shopping-phinf.pstatic.net/main_8123428/81234289884.5.jpg?type=f140,실/끈,"치석케어, 흥미유발, 분리불안해소"
